update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00103,1.0000,0.2253,1.233,1.791
2,128,orientation_cued_D4,0.00064,1.0000,0.0802,0.556,0.008
3,192,orientation_cued_D12,0.05287,0.9844,6.4187,1.014,0.011
4,256,orientation_cued_D24,0.17607,0.9375,26.2756,1.481,0.022
5,320,orientation_cued_D0,0.07711,0.9844,4.6547,0.248,0.037
6,384,orientation_cued_D4,0.00484,1.0000,2.8321,0.495,0.007
7,448,orientation_cued_D12,0.00103,1.0000,0.1340,0.874,0.011
8,512,orientation_cued_D0,0.00355,1.0000,1.9878,0.307,0.025
9,576,orientation_cued_D24,0.01412,1.0000,5.7367,1.503,0.008
10,640,orientation_cued_D12,0.01271,0.9844,10.1556,0.819,0.036
11,704,orientation_cued_D4,0.05595,0.9844,6.2338,0.478,0.021
12,768,orientation_cued_D0,0.00054,1.0000,0.2411,0.248,0.014
13,832,orientation_cued_D24,0.00571,1.0000,2.2986,1.469,0.007
14,896,orientation_cued_D12,0.00086,1.0000,0.2700,0.849,0.040
15,960,orientation_cued_D4,0.01709,0.9844,5.9943,0.476,0.026
16,1024,orientation_cued_D0,0.01335,0.9844,14.8815,0.257,0.012
17,1088,orientation_cued_D24,0.06631,0.9844,13.2241,1.510,0.007
18,1152,orientation_cued_D12,0.00072,1.0000,0.1112,1.031,0.039
19,1216,orientation_cued_D4,0.00112,1.0000,0.3930,0.505,0.025
20,1280,orientation_cued_D0,0.10060,0.9844,7.7800,0.254,0.019
21,1344,orientation_cued_D24,0.01805,0.9844,11.5339,1.542,0.005
22,1408,orientation_cued_D12,0.00135,1.0000,0.2734,0.958,0.035
23,1472,orientation_cued_D4,0.00068,1.0000,0.0470,0.540,0.026
24,1536,orientation_cued_D0,0.06534,0.9688,16.5219,0.266,0.014
25,1600,orientation_cued_D24,0.00431,1.0000,0.4830,1.539,0.008
26,1664,orientation_cued_D12,0.00122,1.0000,0.1540,0.876,0.039
27,1728,orientation_cued_D4,0.00094,1.0000,0.0925,0.595,0.021
28,1792,orientation_cued_D0,0.00031,1.0000,0.0144,0.312,0.012
29,1856,orientation_cued_D24,0.00751,1.0000,1.5906,1.561,0.008
30,1920,orientation_cued_D12,0.00138,1.0000,0.3423,0.829,0.037
31,1984,orientation_cued_D4,0.00137,1.0000,0.2461,0.489,0.019
32,2048,orientation_cued_D0,0.00071,1.0000,0.1124,0.249,0.018
33,2112,orientation_cued_D24,0.01156,1.0000,5.7008,1.725,0.006
34,2176,orientation_cued_D12,0.00531,1.0000,0.7928,0.810,0.039
35,2240,orientation_cued_D4,0.00140,1.0000,0.1600,0.513,0.021
36,2304,orientation_cued_D0,0.00052,1.0000,0.0605,0.243,0.011
37,2368,orientation_cued_D24,0.00568,1.0000,2.0843,1.650,0.005
38,2432,orientation_cued_D12,0.00311,1.0000,1.5938,0.818,0.038
39,2496,orientation_cued_D4,0.00038,1.0000,0.0219,0.555,0.020
40,2560,orientation_cued_D0,0.00088,1.0000,0.2822,0.252,0.012
41,2624,orientation_cued_D24,0.00292,1.0000,0.5523,1.493,0.008
42,2688,orientation_cued_D12,0.00108,1.0000,0.0843,1.018,0.042
43,2752,orientation_cued_D4,0.00066,1.0000,0.0710,0.515,0.024
44,2816,orientation_cued_D0,0.00029,1.0000,0.0139,0.283,0.014
45,2880,orientation_cued_D24,0.00128,1.0000,0.1342,1.541,0.005
46,2944,orientation_cued_D12,0.00053,1.0000,0.0457,0.966,0.040
47,3008,orientation_cued_D4,0.05908,0.9844,20.2981,0.543,0.025
48,3072,orientation_cued_D0,0.00023,1.0000,0.0108,0.247,0.011
49,3136,orientation_cued_D24,0.00765,1.0000,3.7155,1.517,0.006
50,3200,orientation_cued_D12,0.00054,1.0000,0.0435,0.884,0.039
51,3264,orientation_cued_D4,0.00038,1.0000,0.0231,0.568,0.020
52,3328,orientation_cued_D0,0.00027,1.0000,0.0249,0.296,0.014
53,3392,orientation_cued_D24,0.04976,0.9688,27.1809,1.544,0.008
54,3456,orientation_cued_D12,0.00071,1.0000,0.0543,0.851,0.037
55,3520,orientation_cued_D4,0.00085,1.0000,0.1102,0.566,0.027
56,3584,orientation_cued_D0,0.00029,1.0000,0.0136,0.298,0.010
57,3648,orientation_cued_D24,0.00121,1.0000,0.1130,1.737,0.007
58,3712,orientation_cued_D12,0.00047,1.0000,0.0265,0.862,0.038
59,3776,orientation_cued_D4,0.00077,1.0000,0.0940,0.487,0.020
60,3840,orientation_cued_D0,0.00034,1.0000,0.0176,0.259,0.013
61,3904,orientation_cued_D24,0.00079,1.0000,0.0774,1.568,0.005
62,3968,orientation_cued_D12,0.00285,1.0000,0.5257,1.016,0.046
63,4032,orientation_cued_D4,0.00068,1.0000,0.0561,0.507,0.022
64,4096,orientation_cued_D0,0.01412,0.9844,6.5047,0.276,0.013
65,4160,orientation_cued_D24,0.04314,0.9844,11.3166,1.491,0.006
66,4224,orientation_cued_D12,0.00065,1.0000,0.1389,0.893,0.041
67,4288,orientation_cued_D4,0.00125,1.0000,0.1055,0.546,0.025
68,4352,orientation_cued_D0,0.00276,1.0000,0.7161,0.279,0.015
69,4416,orientation_cued_D24,0.00370,1.0000,0.8476,1.489,0.005
70,4480,orientation_cued_D12,0.00098,1.0000,0.1222,0.829,0.036
71,4544,orientation_cued_D4,0.00049,1.0000,0.0704,0.512,0.020
72,4608,orientation_cued_D0,0.00034,1.0000,0.0295,0.305,0.014
73,4672,orientation_cued_D24,0.00361,1.0000,1.3685,1.691,0.007
74,4736,orientation_cued_D12,0.00162,1.0000,0.4970,0.963,0.037
75,4800,orientation_cued_D4,0.00038,1.0000,0.0187,0.521,0.026
76,4864,orientation_cued_D0,0.00046,1.0000,0.0429,0.268,0.011
77,4928,orientation_cued_D24,0.00111,1.0000,0.1593,1.625,0.005
78,4992,orientation_cued_D12,0.03911,0.9844,7.9229,0.937,0.043
79,5056,orientation_cued_D4,0.00069,1.0000,0.0726,0.499,0.025
80,5120,orientation_cued_D0,0.00050,1.0000,0.0702,0.259,0.011
81,5184,orientation_cued_D24,0.00286,1.0000,1.2866,1.710,0.005
82,5248,orientation_cued_D12,0.00073,1.0000,0.1500,0.871,0.036
83,5312,orientation_cued_D4,0.00037,1.0000,0.0338,0.503,0.023
84,5376,orientation_cued_D0,0.00031,1.0000,0.0154,0.277,0.013
85,5440,orientation_cued_D24,0.00203,1.0000,0.4214,1.526,0.006
86,5504,orientation_cued_D12,0.00060,1.0000,0.0437,1.009,0.039
87,5568,orientation_cued_D4,0.00027,1.0000,0.0104,0.523,0.022
88,5632,orientation_cued_D0,0.00027,1.0000,0.0149,0.258,0.017
89,5696,orientation_cued_D24,0.00040,1.0000,0.0210,1.541,0.007
90,5760,orientation_cued_D12,0.00046,1.0000,0.0382,0.910,0.039
91,5824,orientation_cued_D4,0.00050,1.0000,0.0658,0.582,0.020
92,5888,orientation_cued_D0,0.00024,1.0000,0.0090,0.297,0.018
93,5952,orientation_cued_D24,0.01231,0.9844,6.1377,2.098,0.008
94,6016,orientation_cued_D12,0.00030,1.0000,0.0136,1.033,0.044
95,6080,orientation_cued_D4,0.00030,1.0000,0.0115,0.575,0.025
96,6144,orientation_cued_D0,0.00158,1.0000,0.6096,0.312,0.012
97,6208,orientation_cued_D24,0.00091,1.0000,0.1918,1.814,0.007
98,6272,orientation_cued_D12,0.00028,1.0000,0.0136,1.109,0.047
99,6336,orientation_cued_D4,0.00020,1.0000,0.0067,0.549,0.022
100,6400,orientation_cued_D0,0.00501,1.0000,2.7166,0.314,0.015
101,6464,orientation_cued_D24,0.00034,1.0000,0.0186,1.761,0.005
102,6528,orientation_cued_D12,0.00038,1.0000,0.0426,1.092,0.044
103,6592,orientation_cued_D4,0.00040,1.0000,0.0290,0.554,0.027
104,6656,orientation_cued_D0,0.00023,1.0000,0.0152,0.320,0.017
105,6720,orientation_cued_D24,0.00059,1.0000,0.0819,1.813,0.006
106,6784,orientation_cued_D12,0.00027,1.0000,0.0124,1.021,0.026
107,6848,orientation_cued_D4,0.00021,1.0000,0.0067,0.624,0.011
108,6912,orientation_cued_D0,0.00019,1.0000,0.0067,0.382,0.011
109,6976,orientation_cued_D24,0.00047,1.0000,0.0472,1.934,0.004
110,7040,orientation_cued_D12,0.00041,1.0000,0.0344,1.129,0.022
111,7104,orientation_cued_D4,0.00029,1.0000,0.0389,0.603,0.015
112,7168,orientation_cued_D0,0.00048,1.0000,0.0827,0.362,0.010
113,7232,orientation_cued_D24,0.00169,1.0000,0.6491,1.849,0.005
114,7296,orientation_cued_D12,0.00032,1.0000,0.0265,1.203,0.018
115,7360,orientation_cued_D4,0.00017,1.0000,0.0047,0.536,0.014
116,7424,orientation_cued_D0,0.02994,0.9844,6.4966,0.331,0.014
117,7488,orientation_cued_D24,0.00364,1.0000,2.1685,1.828,0.005
118,7552,orientation_cued_D12,0.00021,1.0000,0.0069,1.012,0.019
119,7616,orientation_cued_D4,0.00018,1.0000,0.0066,0.608,0.014
120,7680,orientation_cued_D0,0.00736,1.0000,3.6713,0.354,0.010
121,7744,orientation_cued_D24,0.00394,1.0000,2.8572,1.896,0.004
122,7808,orientation_cued_D12,0.00020,1.0000,0.0087,1.035,0.016
123,7872,orientation_cued_D4,0.00015,1.0000,0.0044,0.542,0.012
124,7936,orientation_cued_D0,0.00023,1.0000,0.0226,0.335,0.015
125,8000,orientation_cued_D24,0.00286,1.0000,1.3622,2.011,0.004
126,8064,orientation_cued_D12,0.00022,1.0000,0.0110,0.970,0.031
127,8128,orientation_cued_D4,0.00016,1.0000,0.0059,0.609,0.023
128,8192,orientation_cued_D0,0.00014,1.0000,0.0037,0.332,0.017
129,8256,orientation_cued_D24,0.02145,0.9844,9.1116,2.037,0.004
130,8320,orientation_cued_D12,0.00025,1.0000,0.0223,1.033,0.030
131,8384,orientation_cued_D4,0.00020,1.0000,0.0094,0.523,0.017
132,8448,orientation_cued_D0,0.00022,1.0000,0.0151,0.358,0.016
133,8512,orientation_cued_D24,0.00026,1.0000,0.0148,2.684,0.004
134,8576,orientation_cued_D12,0.00022,1.0000,0.0093,1.957,0.029
135,8640,orientation_cued_D4,0.00014,1.0000,0.0035,0.834,0.022
136,8704,orientation_cued_D0,0.00018,1.0000,0.0090,0.486,0.016
137,8768,orientation_cued_D24,0.00025,1.0000,0.0132,3.079,0.006
138,8832,orientation_cued_D12,0.00026,1.0000,0.0164,1.292,0.023
139,8896,orientation_cued_D4,0.00013,1.0000,0.0035,0.622,0.025
140,8960,orientation_cued_D0,0.00017,1.0000,0.0116,0.316,0.015
141,9024,orientation_cued_D24,0.00026,1.0000,0.0155,2.288,0.009
142,9088,orientation_cued_D12,0.00020,1.0000,0.0085,0.900,0.047
143,9152,orientation_cued_D4,0.00030,1.0000,0.0407,0.530,0.019
144,9216,orientation_cued_D0,0.00064,1.0000,0.3752,0.257,0.015
145,9280,orientation_cued_D24,0.00032,1.0000,0.0998,1.566,0.007
146,9344,orientation_cued_D12,0.00021,1.0000,0.0217,1.001,0.035
147,9408,orientation_cued_D4,0.00015,1.0000,0.0101,0.512,0.026
148,9472,orientation_cued_D0,0.00032,1.0000,0.0642,0.268,0.014
149,9536,orientation_cued_D24,0.00033,1.0000,0.0435,1.577,0.008
150,9600,orientation_cued_D12,0.00017,1.0000,0.0087,0.966,0.039
151,9664,orientation_cued_D4,0.00021,1.0000,0.0135,0.672,0.023
152,9728,orientation_cued_D0,0.00020,1.0000,0.0092,0.315,0.014
153,9792,orientation_cued_D24,0.00442,1.0000,3.3240,1.626,0.007
154,9856,orientation_cued_D12,0.00027,1.0000,0.0180,0.856,0.042
155,9920,orientation_cued_D4,0.00029,1.0000,0.0183,0.530,0.018
156,9984,orientation_cued_D0,0.00044,1.0000,0.1306,0.242,0.010
157,10048,orientation_cued_D24,0.00037,1.0000,0.0960,1.666,0.005
158,10112,orientation_cued_D12,0.00019,1.0000,0.0078,0.961,0.042
159,10176,orientation_cued_D4,0.00022,1.0000,0.0168,0.540,0.020
160,10240,orientation_cued_D0,0.00015,1.0000,0.0044,0.276,0.010
161,10304,orientation_cued_D24,0.00045,1.0000,0.0680,1.806,0.005
162,10368,orientation_cued_D12,0.00015,1.0000,0.0041,1.153,0.049
163,10432,orientation_cued_D4,0.00012,1.0000,0.0033,0.560,0.020
164,10496,orientation_cued_D0,0.00062,1.0000,0.5750,0.283,0.016
165,10560,orientation_cued_D24,0.00054,1.0000,0.2342,1.714,0.006
166,10624,orientation_cued_D12,0.00015,1.0000,0.0052,1.017,0.033
167,10688,orientation_cued_D4,0.00016,1.0000,0.0085,0.685,0.025
168,10752,orientation_cued_D0,0.00015,1.0000,0.0059,0.398,0.015
169,10816,orientation_cued_D24,0.00047,1.0000,0.1894,1.760,0.004
170,10880,orientation_cued_D12,0.00018,1.0000,0.0097,1.038,0.034
171,10944,orientation_cued_D4,0.00014,1.0000,0.0071,0.680,0.012
172,11008,orientation_cued_D0,0.00020,1.0000,0.0373,0.356,0.015
173,11072,orientation_cued_D24,0.00022,1.0000,0.0100,1.841,0.003
174,11136,orientation_cued_D12,0.00012,1.0000,0.0036,0.983,0.024
175,11200,orientation_cued_D4,0.00020,1.0000,0.0160,0.670,0.011
176,11264,orientation_cued_D0,0.00013,1.0000,0.0031,0.414,0.009
177,11328,orientation_cued_D24,0.00022,1.0000,0.0473,1.794,0.006
178,11392,orientation_cued_D12,0.00016,1.0000,0.0081,0.977,0.017
179,11456,orientation_cued_D4,0.00014,1.0000,0.0062,0.637,0.013
180,11520,orientation_cued_D0,0.00015,1.0000,0.0047,0.338,0.009
181,11584,orientation_cued_D24,0.00015,1.0000,0.0061,1.748,0.003
182,11648,orientation_cued_D12,0.00012,1.0000,0.0028,1.006,0.027
183,11712,orientation_cued_D4,0.00013,1.0000,0.0038,0.677,0.015
184,11776,orientation_cued_D0,0.00038,1.0000,0.1737,0.339,0.017
185,11840,orientation_cued_D24,0.00014,1.0000,0.0083,1.988,0.004
186,11904,orientation_cued_D12,0.00012,1.0000,0.0034,1.111,0.027
187,11968,orientation_cued_D4,0.00012,1.0000,0.0045,0.586,0.011
188,12032,orientation_cued_D0,0.00015,1.0000,0.0106,0.313,0.009
189,12096,orientation_cued_D24,0.00013,1.0000,0.0058,1.961,0.006
190,12160,orientation_cued_D12,0.00011,1.0000,0.0028,0.943,0.040
191,12224,orientation_cued_D4,0.00013,1.0000,0.0048,0.624,0.029
192,12288,orientation_cued_D0,0.00020,1.0000,0.0352,0.322,0.011
193,12352,orientation_cued_D24,0.00015,1.0000,0.0068,2.497,0.003
194,12416,orientation_cued_D12,0.00013,1.0000,0.0039,1.497,0.040
195,12480,orientation_cued_D4,0.00010,1.0000,0.0027,0.797,0.016
196,12544,orientation_cued_D0,0.00012,1.0000,0.0032,0.490,0.015
197,12608,orientation_cued_D24,0.00015,1.0000,0.0068,3.298,0.003
198,12672,orientation_cued_D12,0.00011,1.0000,0.0030,1.497,0.036
199,12736,orientation_cued_D4,0.00012,1.0000,0.0038,0.616,0.022
200,12800,orientation_cued_D0,0.00013,1.0000,0.0033,0.404,0.016
201,12864,orientation_cued_D24,0.00013,1.0000,0.0074,1.641,0.005
202,12928,orientation_cued_D12,0.00011,1.0000,0.0034,0.838,0.020
203,12992,orientation_cued_D4,0.00010,1.0000,0.0024,0.463,0.018
204,13056,orientation_cued_D0,0.00012,1.0000,0.0028,0.252,0.015
205,13120,orientation_cued_D24,0.00021,1.0000,0.0161,1.611,0.007
206,13184,orientation_cued_D12,0.00011,1.0000,0.0033,0.912,0.045
207,13248,orientation_cued_D4,0.00010,1.0000,0.0024,0.495,0.021
208,13312,orientation_cued_D0,0.00011,1.0000,0.0032,0.276,0.015
209,13376,orientation_cued_D24,0.00012,1.0000,0.0037,1.529,0.007
210,13440,orientation_cued_D12,0.00013,1.0000,0.0062,0.968,0.029
211,13504,orientation_cued_D4,0.00011,1.0000,0.0048,0.585,0.026
212,13568,orientation_cued_D0,0.00023,1.0000,0.0658,0.283,0.018
213,13632,orientation_cued_D24,0.00022,1.0000,0.0307,1.568,0.005
214,13696,orientation_cued_D12,0.00012,1.0000,0.0047,0.860,0.035
215,13760,orientation_cued_D4,0.00009,1.0000,0.0021,0.620,0.020
216,13824,orientation_cued_D0,0.00011,1.0000,0.0030,0.333,0.012
217,13888,orientation_cued_D24,0.00024,1.0000,0.0308,1.603,0.005
218,13952,orientation_cued_D12,0.00016,1.0000,0.0220,0.887,0.034
219,14016,orientation_cued_D4,0.00008,1.0000,0.0018,0.484,0.019
220,14080,orientation_cued_D0,0.00011,1.0000,0.0029,0.313,0.012
221,14144,orientation_cued_D24,0.00014,1.0000,0.0083,1.694,0.007
222,14208,orientation_cued_D12,0.00011,1.0000,0.0041,0.928,0.031
223,14272,orientation_cued_D4,0.00011,1.0000,0.0046,0.509,0.020
224,14336,orientation_cued_D0,0.00009,1.0000,0.0023,0.282,0.010
225,14400,orientation_cued_D24,0.00013,1.0000,0.0068,1.586,0.006
226,14464,orientation_cued_D12,0.00009,1.0000,0.0034,1.018,0.037
227,14528,orientation_cued_D4,0.00010,1.0000,0.0030,0.514,0.026
228,14592,orientation_cued_D0,0.00011,1.0000,0.0033,0.245,0.017
229,14656,orientation_cued_D24,0.00011,1.0000,0.0036,1.536,0.005
230,14720,orientation_cued_D12,0.00011,1.0000,0.0047,0.930,0.034
231,14784,orientation_cued_D4,0.00009,1.0000,0.0021,0.537,0.020
232,14848,orientation_cued_D0,0.00010,1.0000,0.0028,0.301,0.019
233,14912,orientation_cued_D24,0.00014,1.0000,0.0135,1.695,0.007
234,14976,orientation_cued_D12,0.00010,1.0000,0.0039,0.858,0.034
235,15040,orientation_cued_D4,0.00008,1.0000,0.0022,0.489,0.018
236,15104,orientation_cued_D0,0.00010,1.0000,0.0027,0.278,0.014
237,15168,orientation_cued_D24,0.00012,1.0000,0.0043,1.658,0.005
238,15232,orientation_cued_D12,0.00010,1.0000,0.0038,0.871,0.044
239,15296,orientation_cued_D4,0.00008,1.0000,0.0020,0.563,0.024
240,15360,orientation_cued_D0,0.00010,1.0000,0.0027,0.307,0.010
241,15424,orientation_cued_D24,0.00013,1.0000,0.0116,1.691,0.005
242,15488,orientation_cued_D12,0.00009,1.0000,0.0023,0.892,0.033
243,15552,orientation_cued_D4,0.00009,1.0000,0.0022,0.524,0.019
244,15616,orientation_cued_D0,0.00008,1.0000,0.0016,0.274,0.014
245,15680,orientation_cued_D24,0.00010,1.0000,0.0031,1.584,0.005
246,15744,orientation_cued_D12,0.00010,1.0000,0.0035,1.047,0.043
247,15808,orientation_cued_D4,0.00008,1.0000,0.0024,0.614,0.025
248,15872,orientation_cued_D0,0.00011,1.0000,0.0044,0.272,0.015
249,15936,orientation_cued_D24,0.00011,1.0000,0.0035,1.534,0.005
250,16000,orientation_cued_D12,0.00010,1.0000,0.0027,0.890,0.037
251,16064,orientation_cued_D4,0.00008,1.0000,0.0021,0.592,0.025
252,16128,orientation_cued_D0,0.00012,1.0000,0.0105,0.294,0.011
253,16192,orientation_cued_D24,0.00012,1.0000,0.0062,1.581,0.007
254,16256,orientation_cued_D12,0.00009,1.0000,0.0029,0.913,0.035
255,16320,orientation_cued_D4,0.00008,1.0000,0.0018,0.551,0.022
256,16384,orientation_cued_D0,0.00010,1.0000,0.0021,0.254,0.014
257,16448,orientation_cued_D24,0.00009,1.0000,0.0025,1.542,0.005
258,16512,orientation_cued_D12,0.00008,1.0000,0.0019,0.869,0.037
259,16576,orientation_cued_D4,0.00008,1.0000,0.0022,0.525,0.019
260,16640,orientation_cued_D0,0.00009,1.0000,0.0030,0.289,0.012
261,16704,orientation_cued_D24,0.00011,1.0000,0.0045,1.714,0.007
262,16768,orientation_cued_D12,0.00008,1.0000,0.0021,0.855,0.039
263,16832,orientation_cued_D4,0.00009,1.0000,0.0024,0.510,0.020
264,16896,orientation_cued_D0,0.00009,1.0000,0.0020,0.262,0.016
265,16960,orientation_cued_D24,0.00012,1.0000,0.0102,1.597,0.007
266,17024,orientation_cued_D12,0.00008,1.0000,0.0018,1.003,0.044
267,17088,orientation_cued_D4,0.00008,1.0000,0.0026,0.526,0.025
268,17152,orientation_cued_D0,0.00008,1.0000,0.0031,0.279,0.012
269,17216,orientation_cued_D24,0.00009,1.0000,0.0024,1.537,0.006
270,17280,orientation_cued_D12,0.00008,1.0000,0.0025,0.845,0.036
271,17344,orientation_cued_D4,0.00007,1.0000,0.0016,0.585,0.023
272,17408,orientation_cued_D0,0.00009,1.0000,0.0020,0.306,0.012
273,17472,orientation_cued_D24,0.00008,1.0000,0.0020,1.602,0.007
274,17536,orientation_cued_D12,0.00007,1.0000,0.0013,0.852,0.034
275,17600,orientation_cued_D4,0.00009,1.0000,0.0032,0.508,0.026
276,17664,orientation_cued_D0,0.00010,1.0000,0.0041,0.302,0.013
277,17728,orientation_cued_D24,0.00009,1.0000,0.0041,1.719,0.007
278,17792,orientation_cued_D12,0.00008,1.0000,0.0019,0.901,0.037
279,17856,orientation_cued_D4,0.00007,1.0000,0.0015,0.563,0.025
280,17920,orientation_cued_D0,0.00008,1.0000,0.0017,0.281,0.014
281,17984,orientation_cued_D24,0.00009,1.0000,0.0030,1.546,0.007
282,18048,orientation_cued_D12,0.00007,1.0000,0.0018,1.048,0.045
283,18112,orientation_cued_D4,0.00008,1.0000,0.0030,0.490,0.024
284,18176,orientation_cued_D0,0.00012,1.0000,0.0125,0.317,0.016
285,18240,orientation_cued_D24,0.00010,1.0000,0.0074,1.553,0.006
286,18304,orientation_cued_D12,0.00007,1.0000,0.0018,0.882,0.040
287,18368,orientation_cued_D4,0.00007,1.0000,0.0015,0.519,0.020
288,18432,orientation_cued_D0,0.00009,1.0000,0.0059,0.291,0.011
289,18496,orientation_cued_D24,0.00009,1.0000,0.0030,1.692,0.006
290,18560,orientation_cued_D12,0.00007,1.0000,0.0018,0.904,0.037
291,18624,orientation_cued_D4,0.00007,1.0000,0.0026,0.503,0.023
292,18688,orientation_cued_D0,0.00008,1.0000,0.0032,0.240,0.012
293,18752,orientation_cued_D24,0.00008,1.0000,0.0023,1.681,0.005
294,18816,orientation_cued_D12,0.00006,1.0000,0.0014,0.897,0.044
295,18880,orientation_cued_D4,0.00007,1.0000,0.0018,0.505,0.024
296,18944,orientation_cued_D0,0.00007,1.0000,0.0015,0.274,0.017
297,19008,orientation_cued_D24,0.00008,1.0000,0.0022,1.686,0.005
298,19072,orientation_cued_D12,0.00007,1.0000,0.0017,0.894,0.035
299,19136,orientation_cued_D4,0.00007,1.0000,0.0016,0.528,0.019
300,19200,orientation_cued_D0,0.00009,1.0000,0.0029,0.305,0.014
301,19264,orientation_cued_D24,0.00008,1.0000,0.0034,1.768,0.009
302,19328,orientation_cued_D12,0.00007,1.0000,0.0016,0.949,0.043
303,19392,orientation_cued_D4,0.00008,1.0000,0.0050,0.522,0.020
304,19456,orientation_cued_D0,0.00007,1.0000,0.0019,0.270,0.010
305,19520,orientation_cued_D24,0.00007,1.0000,0.0014,1.654,0.005
306,19584,orientation_cued_D12,0.00006,1.0000,0.0013,0.879,0.036
307,19648,orientation_cued_D4,0.00006,1.0000,0.0013,0.528,0.022
308,19712,orientation_cued_D0,0.00006,1.0000,0.0012,0.275,0.017
309,19776,orientation_cued_D24,0.00009,1.0000,0.0042,1.668,0.005
310,19840,orientation_cued_D12,0.00006,1.0000,0.0013,0.979,0.039
311,19904,orientation_cued_D4,0.00006,1.0000,0.0013,0.563,0.020
312,19968,orientation_cued_D0,0.00007,1.0000,0.0024,0.253,0.011
313,20032,orientation_cued_D24,0.00008,1.0000,0.0037,1.676,0.005
314,20096,orientation_cued_D12,0.00006,1.0000,0.0014,0.864,0.035
315,20160,orientation_cued_D4,0.00007,1.0000,0.0015,0.508,0.019
316,20224,orientation_cued_D0,0.00009,1.0000,0.0100,0.287,0.015
317,20288,orientation_cued_D24,0.00007,1.0000,0.0027,1.602,0.008
318,20352,orientation_cued_D12,0.00007,1.0000,0.0014,0.966,0.040
319,20416,orientation_cued_D4,0.00007,1.0000,0.0016,0.505,0.020
320,20480,orientation_cued_D0,0.00047,1.0000,0.3414,0.310,0.015
321,20544,orientation_cued_D24,0.00007,1.0000,0.0021,1.572,0.008
322,20608,orientation_cued_D12,0.00007,1.0000,0.0086,0.839,0.035
323,20672,orientation_cued_D4,0.00007,1.0000,0.0016,0.554,0.024
324,20736,orientation_cued_D0,0.00007,1.0000,0.0015,0.329,0.012
325,20800,orientation_cued_D24,0.00007,1.0000,0.0020,1.685,0.008
326,20864,orientation_cued_D12,0.00006,1.0000,0.0016,0.878,0.035
327,20928,orientation_cued_D4,0.00006,1.0000,0.0014,0.486,0.021
328,20992,orientation_cued_D0,0.00006,1.0000,0.0014,0.300,0.014
329,21056,orientation_cued_D24,0.00007,1.0000,0.0017,1.658,0.006
330,21120,orientation_cued_D12,0.00006,1.0000,0.0013,0.938,0.042
331,21184,orientation_cued_D4,0.00006,1.0000,0.0015,0.557,0.022
332,21248,orientation_cued_D0,0.00007,1.0000,0.0055,0.247,0.010
333,21312,orientation_cued_D24,0.00007,1.0000,0.0015,1.719,0.004
334,21376,orientation_cued_D12,0.00006,1.0000,0.0015,1.041,0.043
335,21440,orientation_cued_D4,0.00006,1.0000,0.0011,0.506,0.021
336,21504,orientation_cued_D0,0.00007,1.0000,0.0014,0.279,0.015
337,21568,orientation_cued_D24,0.00008,1.0000,0.0039,1.572,0.005
338,21632,orientation_cued_D12,0.00006,1.0000,0.0012,0.914,0.037
339,21696,orientation_cued_D4,0.00006,1.0000,0.0013,0.536,0.020
340,21760,orientation_cued_D0,0.00007,1.0000,0.0029,0.306,0.013
341,21824,orientation_cued_D24,0.00012,1.0000,0.0604,1.920,0.005
342,21888,orientation_cued_D12,0.00006,1.0000,0.0012,0.861,0.038
343,21952,orientation_cued_D4,0.00005,1.0000,0.0011,0.485,0.021
344,22016,orientation_cued_D0,0.00006,1.0000,0.0011,0.276,0.013
345,22080,orientation_cued_D24,0.00007,1.0000,0.0016,1.679,0.007
346,22144,orientation_cued_D12,0.00005,1.0000,0.0012,0.881,0.035
347,22208,orientation_cued_D4,0.00005,1.0000,0.0010,0.509,0.025
348,22272,orientation_cued_D0,0.00006,1.0000,0.0012,0.259,0.014
349,22336,orientation_cued_D24,0.00006,1.0000,0.0013,1.567,0.007
350,22400,orientation_cued_D12,0.00006,1.0000,0.0012,0.999,0.043
351,22464,orientation_cued_D4,0.00005,1.0000,0.0011,0.577,0.021
352,22528,orientation_cued_D0,0.00006,1.0000,0.0017,0.266,0.010
353,22592,orientation_cued_D24,0.00006,1.0000,0.0019,1.516,0.005
354,22656,orientation_cued_D12,0.00006,1.0000,0.0012,0.869,0.039
355,22720,orientation_cued_D4,0.00005,1.0000,0.0013,0.508,0.023
356,22784,orientation_cued_D0,0.00006,1.0000,0.0012,0.293,0.014
357,22848,orientation_cued_D24,0.00007,1.0000,0.0107,1.713,0.007
358,22912,orientation_cued_D12,0.00006,1.0000,0.0012,0.917,0.035
359,22976,orientation_cued_D4,0.00005,1.0000,0.0010,0.515,0.020
360,23040,orientation_cued_D0,0.00006,1.0000,0.0015,0.252,0.013
361,23104,orientation_cued_D24,0.00008,1.0000,0.0039,1.581,0.007
362,23168,orientation_cued_D12,0.00005,1.0000,0.0019,0.996,0.044
363,23232,orientation_cued_D4,0.00005,1.0000,0.0010,0.500,0.025
364,23296,orientation_cued_D0,0.00007,1.0000,0.0077,0.275,0.015
365,23360,orientation_cued_D24,0.00006,1.0000,0.0014,1.646,0.005
366,23424,orientation_cued_D12,0.00005,1.0000,0.0012,0.863,0.035
367,23488,orientation_cued_D4,0.00006,1.0000,0.0021,0.566,0.020
