update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00152,1.0000,1.0193,1.150,1.459
2,128,orientation_cued_D1,0.34752,0.8438,37.8625,0.139,0.003
3,192,orientation_cued_D2,1.58879,0.6094,34.5831,0.196,0.008
4,256,orientation_cued_D0,0.00118,1.0000,0.4480,0.108,0.009
5,320,orientation_cued_D1,0.29432,0.9375,19.1847,0.182,0.005
6,384,orientation_cued_D2,1.57877,0.5156,36.1667,0.209,0.006
7,448,orientation_cued_D0,0.00125,1.0000,0.4208,0.132,0.009
8,512,orientation_cued_D1,0.51441,0.8281,33.2142,0.165,0.006
9,576,orientation_cued_D2,1.63376,0.3594,47.9705,0.209,0.007
10,640,orientation_cued_D0,0.00209,1.0000,0.3983,0.131,0.008
11,704,orientation_cued_D1,0.19938,0.9219,22.1230,0.160,0.008
12,768,orientation_cued_D2,1.42655,0.5469,36.6233,0.183,0.011
13,832,orientation_cued_D0,0.02533,1.0000,6.8431,0.141,0.007
14,896,orientation_cued_D1,0.19763,0.9375,16.1705,0.160,0.008
15,960,orientation_cued_D2,0.98370,0.5625,42.5592,0.160,0.006
16,1024,orientation_cued_D0,0.02434,0.9844,5.0598,0.119,0.007
17,1088,orientation_cued_D1,0.18286,0.9062,17.3022,0.162,0.005
18,1152,orientation_cued_D2,1.04864,0.5625,29.4582,0.190,0.005
19,1216,orientation_cued_D0,0.08556,0.9844,7.8277,0.105,0.007
20,1280,orientation_cued_D1,0.21226,0.9375,15.7572,0.170,0.004
21,1344,orientation_cued_D2,0.97784,0.4688,27.9331,0.201,0.010
22,1408,orientation_cued_D0,0.01924,1.0000,4.0520,0.121,0.005
23,1472,orientation_cued_D1,0.30100,0.8594,17.5777,0.170,0.005
24,1536,orientation_cued_D2,0.68165,0.5625,11.6903,0.182,0.010
25,1600,orientation_cued_D0,0.12272,0.9531,15.3448,0.123,0.006
26,1664,orientation_cued_D1,0.27740,0.9219,14.3786,0.158,0.004
27,1728,orientation_cued_D2,0.76158,0.4844,10.6569,0.200,0.006
28,1792,orientation_cued_D0,0.14395,0.9688,8.3641,0.150,0.008
29,1856,orientation_cued_D1,0.20919,0.9062,15.2030,0.160,0.005
30,1920,orientation_cued_D2,0.72981,0.4688,6.8948,0.183,0.008
31,1984,orientation_cued_D0,0.08695,0.9688,9.6399,0.113,0.008
32,2048,orientation_cued_D1,0.22194,0.9062,11.2723,0.151,0.005
33,2112,orientation_cued_D2,0.78431,0.4375,14.5648,0.176,0.009
34,2176,orientation_cued_D0,0.06734,0.9688,6.9369,0.104,0.011
35,2240,orientation_cued_D1,0.19713,0.9531,12.9371,0.184,0.005
36,2304,orientation_cued_D2,0.78696,0.4688,10.2137,0.195,0.006
37,2368,orientation_cued_D0,0.03834,0.9844,5.0610,0.103,0.005
38,2432,orientation_cued_D1,0.14314,0.9688,9.6490,0.171,0.004
39,2496,orientation_cued_D2,0.76835,0.5156,9.4387,0.187,0.006
40,2560,orientation_cued_D0,0.01387,1.0000,2.0940,0.143,0.006
41,2624,orientation_cued_D1,0.13822,0.9688,10.0822,0.166,0.005
42,2688,orientation_cued_D2,0.73653,0.4688,6.0703,0.158,0.006
43,2752,orientation_cued_D0,0.03360,0.9844,6.2971,0.128,0.006
44,2816,orientation_cued_D1,0.14542,0.9688,10.1332,0.156,0.005
45,2880,orientation_cued_D2,0.69426,0.5781,5.5422,0.179,0.007
46,2944,orientation_cued_D0,0.07004,0.9844,8.5137,0.126,0.007
47,3008,orientation_cued_D1,0.09752,0.9844,6.8939,0.152,0.007
48,3072,orientation_cued_D2,0.65103,0.5781,5.5781,0.174,0.006
49,3136,orientation_cued_D0,0.06833,0.9688,9.2747,0.120,0.008
50,3200,orientation_cued_D1,0.11469,0.9688,7.7875,0.161,0.007
51,3264,orientation_cued_D2,0.79467,0.5469,13.4010,0.182,0.011
52,3328,orientation_cued_D0,0.00750,1.0000,1.0659,0.110,0.010
53,3392,orientation_cued_D1,0.10761,0.9688,6.7613,0.139,0.005
54,3456,orientation_cued_D2,0.77498,0.5156,11.2329,0.173,0.006
55,3520,orientation_cued_D0,0.00861,1.0000,0.8339,0.127,0.006
56,3584,orientation_cued_D1,0.07826,0.9844,5.6067,0.171,0.005
57,3648,orientation_cued_D2,0.72372,0.5000,8.6143,0.189,0.004
58,3712,orientation_cued_D0,0.00612,1.0000,0.6647,0.134,0.006
59,3776,orientation_cued_D1,0.06780,0.9844,5.5917,0.137,0.005
60,3840,orientation_cued_D2,0.74292,0.5469,10.1426,0.216,0.006
61,3904,orientation_cued_D0,0.00998,1.0000,1.4371,0.129,0.008
62,3968,orientation_cued_D1,0.05556,1.0000,4.3400,0.151,0.004
63,4032,orientation_cued_D2,0.70771,0.5469,8.0179,0.207,0.005
64,4096,orientation_cued_D0,0.01172,1.0000,1.7544,0.144,0.012
65,4160,orientation_cued_D1,0.07011,0.9844,5.7450,0.143,0.008
66,4224,orientation_cued_D2,0.71526,0.5938,9.1322,0.217,0.006
67,4288,orientation_cued_D0,0.02493,0.9844,4.7928,0.147,0.011
68,4352,orientation_cued_D1,0.09669,0.9688,8.3628,0.164,0.008
69,4416,orientation_cued_D2,0.73296,0.5156,7.3791,0.186,0.010
70,4480,orientation_cued_D0,0.01106,1.0000,1.8053,0.122,0.012
71,4544,orientation_cued_D1,0.07639,0.9844,4.8943,0.168,0.010
72,4608,orientation_cued_D2,0.81047,0.4219,10.6820,0.204,0.009
73,4672,orientation_cued_D0,0.00559,1.0000,0.9569,0.119,0.006
74,4736,orientation_cued_D1,0.05221,0.9844,4.7437,0.187,0.005
75,4800,orientation_cued_D2,0.72007,0.5156,6.9416,0.217,0.006
76,4864,orientation_cued_D0,0.01900,1.0000,2.7295,0.117,0.006
77,4928,orientation_cued_D1,0.06577,0.9844,4.6432,0.181,0.004
78,4992,orientation_cued_D2,0.66060,0.5938,7.0522,0.180,0.007
79,5056,orientation_cued_D0,0.01939,1.0000,3.5204,0.136,0.008
80,5120,orientation_cued_D1,0.04875,1.0000,4.7634,0.169,0.005
81,5184,orientation_cued_D2,0.74630,0.3906,10.1788,0.199,0.006
82,5248,orientation_cued_D0,0.02001,1.0000,3.4011,0.120,0.007
83,5312,orientation_cued_D1,0.02579,1.0000,2.5610,0.163,0.004
84,5376,orientation_cued_D2,0.67692,0.5469,8.9385,0.191,0.006
85,5440,orientation_cued_D0,0.00889,1.0000,1.7082,0.127,0.010
86,5504,orientation_cued_D1,0.09552,0.9531,4.9981,0.154,0.006
87,5568,orientation_cued_D2,0.70209,0.6250,9.1125,0.193,0.006
88,5632,orientation_cued_D0,0.03034,0.9844,4.9946,0.149,0.015
89,5696,orientation_cued_D1,0.02435,1.0000,2.6793,0.178,0.008
90,5760,orientation_cued_D2,0.79133,0.4688,10.8986,0.157,0.005
91,5824,orientation_cued_D0,0.01559,1.0000,3.2711,0.150,0.006
92,5888,orientation_cued_D1,0.04391,1.0000,3.9095,0.173,0.006
93,5952,orientation_cued_D2,0.68270,0.6406,7.3836,0.181,0.005
94,6016,orientation_cued_D0,0.03615,0.9844,4.7877,0.138,0.007
95,6080,orientation_cued_D1,0.05625,1.0000,5.0605,0.169,0.005
96,6144,orientation_cued_D2,0.68543,0.5469,4.6867,0.198,0.005
97,6208,orientation_cued_D0,0.01188,1.0000,2.6956,0.129,0.007
98,6272,orientation_cued_D1,0.05920,1.0000,4.6877,0.178,0.006
99,6336,orientation_cued_D2,0.75474,0.4531,5.7037,0.172,0.006
100,6400,orientation_cued_D0,0.00942,1.0000,2.1797,0.128,0.006
101,6464,orientation_cued_D1,0.03105,1.0000,3.2392,0.155,0.005
102,6528,orientation_cued_D2,0.67243,0.5938,4.8136,0.193,0.011
103,6592,orientation_cued_D0,0.00520,1.0000,0.9515,0.119,0.007
104,6656,orientation_cued_D1,0.02999,1.0000,3.4463,0.140,0.006
105,6720,orientation_cued_D2,0.74718,0.4375,5.9463,0.204,0.010
106,6784,orientation_cued_D0,0.01948,1.0000,3.8298,0.136,0.006
107,6848,orientation_cued_D1,0.03598,1.0000,4.3668,0.166,0.004
108,6912,orientation_cued_D2,0.79767,0.5000,14.9602,0.213,0.005
109,6976,orientation_cued_D0,0.02463,0.9844,6.0587,0.151,0.013
110,7040,orientation_cued_D1,0.07054,0.9688,10.0399,0.147,0.005
111,7104,orientation_cued_D2,0.70232,0.5312,5.4915,0.207,0.006
112,7168,orientation_cued_D0,0.00309,1.0000,0.4961,0.129,0.013
113,7232,orientation_cued_D1,0.02701,1.0000,2.9353,0.177,0.004
114,7296,orientation_cued_D2,0.75842,0.4062,7.8525,0.176,0.005
115,7360,orientation_cued_D0,0.00538,1.0000,1.0275,0.149,0.013
116,7424,orientation_cued_D1,0.05446,1.0000,6.1338,0.174,0.004
117,7488,orientation_cued_D2,0.71057,0.5312,5.0779,0.200,0.006
118,7552,orientation_cued_D0,0.01353,1.0000,2.2040,0.137,0.010
119,7616,orientation_cued_D1,0.07170,0.9844,5.8010,0.167,0.010
120,7680,orientation_cued_D2,0.65172,0.6406,4.1804,0.181,0.006
121,7744,orientation_cued_D0,0.00711,1.0000,1.5776,0.124,0.010
122,7808,orientation_cued_D1,0.07003,1.0000,10.4453,0.183,0.005
123,7872,orientation_cued_D2,0.70677,0.4688,7.2116,0.213,0.007
124,7936,orientation_cued_D0,0.01404,1.0000,1.5378,0.115,0.006
125,8000,orientation_cued_D1,0.01555,1.0000,1.7073,0.179,0.004
126,8064,orientation_cued_D2,0.65897,0.5938,4.8726,0.178,0.007
127,8128,orientation_cued_D0,0.00397,1.0000,0.8212,0.155,0.006
128,8192,orientation_cued_D1,0.03807,1.0000,4.1656,0.159,0.005
129,8256,orientation_cued_D2,0.76189,0.4688,11.1439,0.158,0.005
130,8320,orientation_cued_D0,0.00948,1.0000,1.3404,0.144,0.008
131,8384,orientation_cued_D1,0.01598,1.0000,2.1034,0.160,0.005
132,8448,orientation_cued_D2,0.73838,0.5000,8.2644,0.178,0.006
133,8512,orientation_cued_D0,0.03216,0.9844,5.5117,0.137,0.010
134,8576,orientation_cued_D1,0.02681,0.9844,2.9327,0.144,0.005
135,8640,orientation_cued_D2,0.73210,0.5000,6.8548,0.190,0.005
136,8704,orientation_cued_D0,0.01558,1.0000,3.5558,0.133,0.008
137,8768,orientation_cued_D1,0.06643,0.9844,5.5984,0.144,0.005
138,8832,orientation_cued_D2,0.73800,0.5469,7.5183,0.159,0.006
139,8896,orientation_cued_D0,0.00451,1.0000,1.1965,0.106,0.007
140,8960,orientation_cued_D1,0.02583,0.9844,3.0368,0.183,0.007
141,9024,orientation_cued_D2,0.76334,0.4844,11.0757,0.200,0.006
142,9088,orientation_cued_D0,0.00347,1.0000,0.8448,0.107,0.006
143,9152,orientation_cued_D1,0.02570,1.0000,2.7363,0.168,0.005
144,9216,orientation_cued_D2,0.72391,0.5312,6.5267,0.185,0.008
145,9280,orientation_cued_D0,0.00609,1.0000,1.6024,0.106,0.007
146,9344,orientation_cued_D1,0.05329,0.9688,6.5050,0.185,0.004
147,9408,orientation_cued_D2,0.72113,0.5156,5.2774,0.219,0.007
148,9472,orientation_cued_D0,0.02970,0.9844,7.2929,0.136,0.010
149,9536,orientation_cued_D1,0.01872,1.0000,2.1500,0.164,0.008
150,9600,orientation_cued_D2,0.66357,0.6094,4.4177,0.189,0.009
151,9664,orientation_cued_D0,0.00584,1.0000,1.2917,0.143,0.007
152,9728,orientation_cued_D1,0.04475,1.0000,5.1384,0.171,0.007
153,9792,orientation_cued_D2,0.67874,0.5000,4.5824,0.196,0.012
154,9856,orientation_cued_D0,0.00450,1.0000,1.1788,0.138,0.008
155,9920,orientation_cued_D1,0.02748,1.0000,3.0607,0.159,0.010
156,9984,orientation_cued_D2,0.77029,0.3906,11.0647,0.172,0.007
157,10048,orientation_cued_D0,0.00394,1.0000,0.5325,0.154,0.014
158,10112,orientation_cued_D1,0.01597,1.0000,1.7864,0.174,0.005
159,10176,orientation_cued_D2,0.70733,0.4844,4.2424,0.158,0.005
160,10240,orientation_cued_D0,0.02116,0.9844,4.7447,0.144,0.010
161,10304,orientation_cued_D1,0.02695,0.9844,4.3263,0.191,0.007
162,10368,orientation_cued_D2,0.70743,0.5469,5.9011,0.184,0.005
163,10432,orientation_cued_D0,0.00849,1.0000,1.7318,0.135,0.010
164,10496,orientation_cued_D1,0.04690,0.9844,6.6906,0.159,0.005
165,10560,orientation_cued_D2,0.71898,0.4531,5.4732,0.205,0.006
166,10624,orientation_cued_D0,0.00566,1.0000,0.6227,0.139,0.011
167,10688,orientation_cued_D1,0.03450,1.0000,3.6576,0.154,0.005
168,10752,orientation_cued_D2,0.65474,0.6250,3.5363,0.210,0.009
169,10816,orientation_cued_D0,0.00930,1.0000,1.8854,0.136,0.010
170,10880,orientation_cued_D1,0.02691,1.0000,4.7747,0.166,0.006
171,10944,orientation_cued_D2,0.72133,0.5156,4.4523,0.181,0.008
172,11008,orientation_cued_D0,0.01276,1.0000,2.1468,0.127,0.013
173,11072,orientation_cued_D1,0.03330,1.0000,4.0752,0.143,0.005
174,11136,orientation_cued_D2,0.68623,0.5781,4.4079,0.199,0.006
175,11200,orientation_cued_D0,0.01424,1.0000,2.2560,0.149,0.006
176,11264,orientation_cued_D1,0.01800,1.0000,2.4439,0.160,0.005
177,11328,orientation_cued_D2,0.74793,0.4844,5.4646,0.209,0.005
178,11392,orientation_cued_D0,0.02805,0.9844,5.2007,0.127,0.006
179,11456,orientation_cued_D1,0.01755,1.0000,2.4046,0.179,0.008
180,11520,orientation_cued_D2,0.69414,0.5312,4.8286,0.213,0.007
181,11584,orientation_cued_D0,0.00568,1.0000,1.3029,0.127,0.006
182,11648,orientation_cued_D1,0.01201,1.0000,1.6508,0.168,0.004
183,11712,orientation_cued_D2,0.64701,0.6562,6.3961,0.228,0.013
184,11776,orientation_cued_D0,0.00450,1.0000,1.2541,0.136,0.007
185,11840,orientation_cued_D1,0.05172,0.9844,10.7969,0.163,0.005
186,11904,orientation_cued_D2,0.76150,0.5312,5.6545,0.195,0.010
187,11968,orientation_cued_D0,0.01230,1.0000,2.8997,0.131,0.008
188,12032,orientation_cued_D1,0.01263,1.0000,1.6259,0.163,0.005
189,12096,orientation_cued_D2,0.70167,0.4844,6.4427,0.184,0.009
190,12160,orientation_cued_D0,0.01140,1.0000,2.8629,0.144,0.011
191,12224,orientation_cued_D1,0.03116,1.0000,5.5766,0.176,0.005
192,12288,orientation_cued_D2,0.74896,0.4219,6.4242,0.182,0.008
193,12352,orientation_cued_D0,0.00172,1.0000,0.2406,0.139,0.006
194,12416,orientation_cued_D1,0.01991,1.0000,2.4309,0.188,0.007
195,12480,orientation_cued_D2,0.69824,0.5469,5.5082,0.198,0.008
196,12544,orientation_cued_D0,0.00411,1.0000,1.2899,0.140,0.007
197,12608,orientation_cued_D1,0.02070,1.0000,2.5071,0.175,0.008
198,12672,orientation_cued_D2,0.70145,0.5000,4.9693,0.173,0.009
199,12736,orientation_cued_D0,0.01292,1.0000,3.4551,0.153,0.014
200,12800,orientation_cued_D1,0.02190,1.0000,3.6954,0.165,0.005
201,12864,orientation_cued_D2,0.68487,0.5781,5.7291,0.196,0.006
202,12928,orientation_cued_D0,0.01606,0.9844,4.0488,0.144,0.010
203,12992,orientation_cued_D1,0.01696,1.0000,2.9932,0.147,0.004
204,13056,orientation_cued_D2,0.78945,0.4062,10.9918,0.206,0.006
205,13120,orientation_cued_D0,0.00260,1.0000,0.8014,0.147,0.007
206,13184,orientation_cued_D1,0.01309,1.0000,1.5025,0.148,0.005
207,13248,orientation_cued_D2,0.68519,0.5781,7.6420,0.215,0.009
208,13312,orientation_cued_D0,0.00617,1.0000,1.3136,0.123,0.006
209,13376,orientation_cued_D1,0.02196,1.0000,4.0552,0.177,0.008
210,13440,orientation_cued_D2,0.71486,0.5781,7.1166,0.193,0.005
211,13504,orientation_cued_D0,0.01475,1.0000,2.9491,0.136,0.015
212,13568,orientation_cued_D1,0.01576,1.0000,2.2089,0.171,0.013
213,13632,orientation_cued_D2,0.72301,0.5312,6.5500,0.179,0.006
214,13696,orientation_cued_D0,0.00171,1.0000,0.2885,0.119,0.006
215,13760,orientation_cued_D1,0.06172,0.9844,9.0186,0.155,0.006
216,13824,orientation_cued_D2,0.73346,0.5156,7.7597,0.180,0.006
217,13888,orientation_cued_D0,0.02182,0.9844,4.6023,0.137,0.013
218,13952,orientation_cued_D1,0.02034,1.0000,2.7583,0.178,0.008
219,14016,orientation_cued_D2,0.70712,0.4688,5.1181,0.216,0.008
220,14080,orientation_cued_D0,0.00885,1.0000,2.2209,0.109,0.006
221,14144,orientation_cued_D1,0.02921,0.9844,4.6441,0.169,0.008
222,14208,orientation_cued_D2,0.72642,0.4531,5.1379,0.201,0.007
223,14272,orientation_cued_D0,0.00756,1.0000,2.1899,0.089,0.006
224,14336,orientation_cued_D1,0.02729,1.0000,4.2363,0.103,0.004
225,14400,orientation_cued_D2,0.72975,0.4844,3.9680,0.129,0.005
226,14464,orientation_cued_D0,0.01103,1.0000,2.7555,0.090,0.006
227,14528,orientation_cued_D1,0.02376,1.0000,4.5315,0.100,0.004
228,14592,orientation_cued_D2,0.70361,0.5000,5.4512,0.117,0.009
229,14656,orientation_cued_D0,0.03141,0.9844,5.9843,0.092,0.010
230,14720,orientation_cued_D1,0.04121,1.0000,4.8224,0.093,0.004
231,14784,orientation_cued_D2,0.72010,0.5000,3.8410,0.122,0.008
232,14848,orientation_cued_D0,0.00750,1.0000,2.0104,0.084,0.010
233,14912,orientation_cued_D1,0.01884,1.0000,3.1059,0.115,0.005
234,14976,orientation_cued_D2,0.71372,0.5625,6.5964,0.112,0.009
235,15040,orientation_cued_D0,0.00424,1.0000,1.2370,0.104,0.011
236,15104,orientation_cued_D1,0.01765,1.0000,2.0745,0.093,0.004
237,15168,orientation_cued_D2,0.75190,0.4219,7.8473,0.152,0.008
238,15232,orientation_cued_D0,0.00881,1.0000,3.1233,0.083,0.010
239,15296,orientation_cued_D1,0.00950,1.0000,1.4313,0.113,0.004
240,15360,orientation_cued_D2,0.69313,0.5312,5.2526,0.125,0.008
241,15424,orientation_cued_D0,0.01043,1.0000,2.7887,0.105,0.009
242,15488,orientation_cued_D1,0.02104,1.0000,2.1536,0.123,0.006
243,15552,orientation_cued_D2,0.70688,0.4688,5.1759,0.111,0.009
244,15616,orientation_cued_D0,0.00601,1.0000,2.1137,0.100,0.010
245,15680,orientation_cued_D1,0.03899,0.9844,6.8047,0.122,0.005
246,15744,orientation_cued_D2,0.70900,0.5156,4.0774,0.113,0.008
247,15808,orientation_cued_D0,0.00255,1.0000,0.3614,0.087,0.010
248,15872,orientation_cued_D1,0.00737,1.0000,1.2524,0.133,0.005
249,15936,orientation_cued_D2,0.66780,0.5625,3.2800,0.111,0.009
250,16000,orientation_cued_D0,0.00131,1.0000,0.2446,0.082,0.006
251,16064,orientation_cued_D1,0.00801,1.0000,1.1631,0.130,0.005
252,16128,orientation_cued_D2,0.72138,0.4062,5.0461,0.110,0.006
253,16192,orientation_cued_D0,0.00384,1.0000,0.6384,0.079,0.007
254,16256,orientation_cued_D1,0.03263,0.9844,6.6444,0.099,0.005
255,16320,orientation_cued_D2,0.68241,0.5625,5.2658,0.161,0.006
256,16384,orientation_cued_D0,0.00465,1.0000,0.8450,0.085,0.007
257,16448,orientation_cued_D1,0.02584,1.0000,4.8868,0.092,0.004
258,16512,orientation_cued_D2,0.69435,0.5625,5.8212,0.108,0.005
259,16576,orientation_cued_D0,0.00167,1.0000,0.4628,0.083,0.007
260,16640,orientation_cued_D1,0.01398,1.0000,1.9483,0.148,0.005
261,16704,orientation_cued_D2,0.70440,0.5000,6.8795,0.106,0.005
262,16768,orientation_cued_D0,0.00156,1.0000,0.3952,0.081,0.006
263,16832,orientation_cued_D1,0.01227,1.0000,2.9264,0.126,0.004
264,16896,orientation_cued_D2,0.70665,0.4844,6.6574,0.178,0.006
265,16960,orientation_cued_D0,0.00416,1.0000,1.5422,0.081,0.006
266,17024,orientation_cued_D1,0.00988,1.0000,1.9739,0.112,0.004
267,17088,orientation_cued_D2,0.69411,0.5156,8.0313,0.130,0.005
268,17152,orientation_cued_D0,0.00111,1.0000,0.2454,0.086,0.007
269,17216,orientation_cued_D1,0.02137,1.0000,4.4235,0.158,0.006
270,17280,orientation_cued_D2,0.68960,0.6094,4.2726,0.206,0.006
271,17344,orientation_cued_D0,0.01027,1.0000,2.6881,0.137,0.006
272,17408,orientation_cued_D1,0.01041,1.0000,2.0697,0.164,0.005
273,17472,orientation_cued_D2,0.68672,0.5781,4.7569,0.192,0.009
274,17536,orientation_cued_D0,0.00427,1.0000,1.8062,0.144,0.014
275,17600,orientation_cued_D1,0.02142,1.0000,4.8176,0.173,0.005
276,17664,orientation_cued_D2,0.66488,0.5938,3.6441,0.191,0.006
277,17728,orientation_cued_D0,0.00282,1.0000,0.9159,0.132,0.006
278,17792,orientation_cued_D1,0.01069,1.0000,2.3643,0.162,0.005
279,17856,orientation_cued_D2,0.71914,0.5000,5.8712,0.184,0.009
280,17920,orientation_cued_D0,0.00193,1.0000,0.8395,0.134,0.009
281,17984,orientation_cued_D1,0.02531,1.0000,5.7314,0.129,0.007
282,18048,orientation_cued_D2,0.70945,0.4531,5.1254,0.205,0.009
283,18112,orientation_cued_D0,0.00141,1.0000,0.3769,0.153,0.007
284,18176,orientation_cued_D1,0.00868,1.0000,2.2525,0.138,0.006
285,18240,orientation_cued_D2,0.70469,0.5156,6.4456,0.220,0.010
286,18304,orientation_cued_D0,0.00256,1.0000,0.4945,0.123,0.006
287,18368,orientation_cued_D1,0.03998,0.9844,6.7204,0.193,0.011
288,18432,orientation_cued_D2,0.67130,0.6250,4.0654,0.216,0.006
289,18496,orientation_cued_D0,0.00884,1.0000,2.6385,0.140,0.006
290,18560,orientation_cued_D1,0.02563,0.9844,3.4615,0.162,0.006
291,18624,orientation_cued_D2,0.68345,0.5781,5.6080,0.223,0.013
292,18688,orientation_cued_D0,0.00350,1.0000,1.6135,0.131,0.006
293,18752,orientation_cued_D1,0.03014,0.9844,7.5313,0.178,0.008
294,18816,orientation_cued_D2,0.75918,0.4531,7.5783,0.184,0.007
295,18880,orientation_cued_D0,0.00167,1.0000,0.5829,0.116,0.007
296,18944,orientation_cued_D1,0.01009,1.0000,1.8332,0.142,0.006
297,19008,orientation_cued_D2,0.71252,0.4844,4.9160,0.176,0.006
298,19072,orientation_cued_D0,0.00083,1.0000,0.1688,0.116,0.012
299,19136,orientation_cued_D1,0.05685,0.9531,4.9345,0.174,0.008
300,19200,orientation_cued_D2,0.70851,0.4844,4.1833,0.213,0.009
301,19264,orientation_cued_D0,0.00123,1.0000,0.3095,0.093,0.006
302,19328,orientation_cued_D1,0.02689,1.0000,3.1182,0.178,0.005
303,19392,orientation_cued_D2,0.69641,0.5625,4.3832,0.213,0.012
304,19456,orientation_cued_D0,0.00340,1.0000,2.0019,0.132,0.006
305,19520,orientation_cued_D1,0.01967,1.0000,2.3219,0.175,0.005
306,19584,orientation_cued_D2,0.66166,0.6406,3.5223,0.216,0.010
307,19648,orientation_cued_D0,0.00105,1.0000,0.2751,0.140,0.009
308,19712,orientation_cued_D1,0.01202,1.0000,1.4870,0.173,0.008
309,19776,orientation_cued_D2,0.68682,0.5312,5.9203,0.192,0.009
310,19840,orientation_cued_D0,0.00371,1.0000,1.6807,0.144,0.007
311,19904,orientation_cued_D1,0.04236,0.9844,8.0813,0.159,0.006
312,19968,orientation_cued_D2,0.73199,0.4062,6.8692,0.185,0.009
313,20032,orientation_cued_D0,0.00410,1.0000,1.5584,0.131,0.008
314,20096,orientation_cued_D1,0.00818,1.0000,2.6429,0.139,0.005
315,20160,orientation_cued_D2,0.67189,0.5000,4.3279,0.165,0.009
316,20224,orientation_cued_D0,0.00417,1.0000,1.5221,0.146,0.009
317,20288,orientation_cued_D1,0.02640,0.9844,6.4243,0.172,0.005
318,20352,orientation_cued_D2,0.70763,0.4375,4.4325,0.168,0.009
319,20416,orientation_cued_D0,0.01292,1.0000,5.1068,0.150,0.006
320,20480,orientation_cued_D1,0.01009,1.0000,2.6358,0.169,0.005
321,20544,orientation_cued_D2,0.70363,0.4688,4.0557,0.181,0.007
322,20608,orientation_cued_D0,0.00208,1.0000,0.6074,0.147,0.007
323,20672,orientation_cued_D1,0.02261,1.0000,3.1833,0.168,0.007
324,20736,orientation_cued_D2,0.67676,0.5781,5.0688,0.188,0.006
325,20800,orientation_cued_D0,0.00564,1.0000,1.6657,0.138,0.006
326,20864,orientation_cued_D1,0.01339,1.0000,5.0275,0.154,0.008
327,20928,orientation_cued_D2,0.73646,0.4688,6.7543,0.199,0.007
328,20992,orientation_cued_D0,0.00331,1.0000,1.0442,0.140,0.006
329,21056,orientation_cued_D1,0.00521,1.0000,1.2484,0.149,0.006
330,21120,orientation_cued_D2,0.69340,0.5312,4.4197,0.180,0.005
331,21184,orientation_cued_D0,0.01035,1.0000,2.3985,0.137,0.008
332,21248,orientation_cued_D1,0.04732,0.9688,6.5118,0.145,0.005
333,21312,orientation_cued_D2,0.67621,0.5781,5.2712,0.183,0.006
334,21376,orientation_cued_D0,0.00620,1.0000,3.5381,0.152,0.007
335,21440,orientation_cued_D1,0.00740,1.0000,1.4650,0.175,0.005
336,21504,orientation_cued_D2,0.72024,0.4375,4.8691,0.180,0.006
337,21568,orientation_cued_D0,0.00229,1.0000,0.9142,0.140,0.007
338,21632,orientation_cued_D1,0.03557,0.9844,6.9437,0.171,0.005
339,21696,orientation_cued_D2,0.67663,0.5781,3.7710,0.223,0.010
340,21760,orientation_cued_D0,0.00136,1.0000,0.5241,0.141,0.009
341,21824,orientation_cued_D1,0.01568,1.0000,3.6691,0.164,0.008
342,21888,orientation_cued_D2,0.68859,0.5469,5.2786,0.192,0.010
343,21952,orientation_cued_D0,0.00053,1.0000,0.0780,0.150,0.009
344,22016,orientation_cued_D1,0.06200,0.9531,11.0252,0.159,0.008
345,22080,orientation_cued_D2,0.70976,0.4688,4.7672,0.186,0.009
346,22144,orientation_cued_D0,0.00513,1.0000,1.6135,0.130,0.009
347,22208,orientation_cued_D1,0.01915,1.0000,3.9330,0.154,0.004
348,22272,orientation_cued_D2,0.65592,0.5625,4.3725,0.183,0.008
349,22336,orientation_cued_D0,0.00121,1.0000,0.4090,0.135,0.015
350,22400,orientation_cued_D1,0.01801,0.9844,3.6563,0.152,0.005
351,22464,orientation_cued_D2,0.67150,0.5938,4.6065,0.203,0.008
352,22528,orientation_cued_D0,0.00549,1.0000,2.1825,0.150,0.006
353,22592,orientation_cued_D1,0.00885,1.0000,2.3846,0.169,0.005
354,22656,orientation_cued_D2,0.64251,0.6406,4.2450,0.205,0.007
355,22720,orientation_cued_D0,0.00141,1.0000,0.5083,0.100,0.006
356,22784,orientation_cued_D1,0.03392,0.9844,10.7763,0.183,0.005
357,22848,orientation_cued_D2,0.66273,0.6562,5.3886,0.217,0.010
358,22912,orientation_cued_D0,0.00871,1.0000,3.4596,0.135,0.006
359,22976,orientation_cued_D1,0.00254,1.0000,0.5774,0.154,0.007
360,23040,orientation_cued_D2,0.71433,0.5156,5.6094,0.205,0.007
361,23104,orientation_cued_D0,0.00032,1.0000,0.0242,0.131,0.007
362,23168,orientation_cued_D1,0.02455,0.9844,7.6997,0.158,0.008
363,23232,orientation_cued_D2,0.68201,0.5938,5.7453,0.194,0.008
364,23296,orientation_cued_D0,0.01634,0.9844,6.3251,0.139,0.010
365,23360,orientation_cued_D1,0.00610,1.0000,2.2721,0.150,0.010
366,23424,orientation_cued_D2,0.72901,0.4062,10.3793,0.198,0.007
367,23488,orientation_cued_D0,0.00109,1.0000,0.4270,0.158,0.010
